image_name,scene,pitch,yaw,altitude,pred_error,ref_type,strategy,matching_method,inlier_count,retrieval_time,match_time,pnp_time,total_time
DJI_20240917112319_0376_D.JPG,QZ_Town,-39.6,-21.7,79.7,10.156119347366207,HIGH,TopN_Re-rank,RoMa,154,0.0141961910355259,"[0.6311333179473877, 0.7489750385284424, 0.8300995826721191, 0.7275896072387695, 0.7317395210266113]","[0.011002063751220703, 0.009997367858886719, 0.010001897811889648, 0.008998870849609375, 0.010001659393310547]",5.052988529205322
DJI_20240917112321_0377_D.JPG,QZ_Town,-39.6,-27.6,81.3,10.868338981390442,HIGH,TopN_Re-rank,RoMa,170,0.014256100156413975,"[0.7754204273223877, 0.8642868995666504, 0.8033592700958252, 0.8770380020141602, 0.6914043426513672]","[0.010001420974731445, 0.009999752044677734, 0.008996725082397461, 0.012007951736450195, 0.011518716812133789]",5.329195499420166
DJI_20240917112322_0378_D.JPG,QZ_Town,-39.6,-46.6,81.2,9.704279286743764,HIGH,TopN_Re-rank,RoMa,142,0.014319669116627087,"[0.7244625091552734, 0.8128046989440918, 0.699981689453125, 0.6992242336273193, 0.8288364410400391]","[0.010512590408325195, 0.010045051574707031, 0.009520530700683594, 0.01151132583618164, 0.009515047073364258]",5.076141595840454
DJI_20240917112324_0379_D.JPG,QZ_Town,-39.6,-60.0,81.2,7.787574690180797,HIGH,TopN_Re-rank,RoMa,136,0.013811407770429338,"[0.7104558944702148, 0.7033705711364746, 0.701357364654541, 0.776186466217041, 0.6890077590942383]","[0.009515523910522461, 0.009032726287841797, 0.01052236557006836, 0.011028051376342773, 0.01051187515258789]",4.911900281906128
DJI_20240917112327_0380_D.JPG,QZ_Town,-39.6,-70.1,81.2,2162.3270383193944,HIGH,TopN_Re-rank,RoMa,107,0.013983641097794718,"[0.7676117420196533, 0.720259428024292, 0.6603150367736816, 0.7616956233978271, 0.7782247066497803]","[0.01251220703125, 0.013996124267578125, 0.009971380233764648, 0.011008977890014648, 0.010001420974731445]",5.011555433273315
DJI_20240917112331_0381_D.JPG,QZ_Town,-42.1,-79.3,81.3,6.268411344831588,HIGH,TopN_Re-rank,RoMa,108,0.01400654109907739,"[0.7766766548156738, 0.7672293186187744, 0.6750054359436035, 0.6449673175811768, 0.7102797031402588]","[0.010000228881835938, 0.011619091033935547, 0.011002540588378906, 0.010999679565429688, 0.009999990463256836]",5.077334642410278
DJI_20240917112333_0382_D.JPG,QZ_Town,-43.3,-101.4,81.4,16.745883430703156,HIGH,TopN_Re-rank,RoMa,61,0.01344493173417591,"[0.6597249507904053, 0.8078343868255615, 0.6741428375244141, 0.7115752696990967, 0.7350945472717285]","[0.009998083114624023, 0.008999824523925781, 0.011000394821166992, 0.009999275207519531, 0.012999534606933594]",5.078749656677246
DJI_20240917112335_0383_D.JPG,QZ_Town,-45.2,-101.4,81.4,3.6275798775305548,HIGH,TopN_Re-rank,RoMa,148,0.01404199707374144,"[0.6491572856903076, 0.6480000019073486, 0.6865367889404297, 0.7403390407562256, 0.7336893081665039]","[0.01235508918762207, 0.01299905776977539, 0.014001846313476562, 0.009998083114624023, 0.010136604309082031]",5.104958772659302
DJI_20240917112337_0384_D.JPG,QZ_Town,-45.2,-106.7,81.5,5.00213036027629,HIGH,TopN_Re-rank,RoMa,80,0.013813349604606628,"[0.8223297595977783, 0.7277443408966064, 0.6539998054504395, 0.7347128391265869, 0.6675200462341309]","[0.01200103759765625, 0.013000965118408203, 0.010005950927734375, 0.010001420974731445, 0.011998653411865234]",5.081992149353027
DJI_20240917112339_0385_D.JPG,QZ_Town,-45.2,-108.3,81.5,4.116529465534296,HIGH,TopN_Re-rank,RoMa,196,0.013623633035799353,"[0.6949989795684814, 0.7087306976318359, 0.9711873531341553, 0.7457499504089355, 0.6806285381317139]","[0.012000083923339844, 0.010999441146850586, 0.009000062942504883, 0.011000871658325195, 0.010001659393310547]",5.304636478424072
DJI_20240917112341_0386_D.JPG,QZ_Town,-45.2,-117.9,81.5,5.8972063546151565,HIGH,TopN_Re-rank,RoMa,147,0.013643808853931917,"[0.6426517963409424, 0.82950758934021, 0.857830286026001, 0.8201456069946289, 0.6958179473876953]","[0.008996725082397461, 0.00900125503540039, 0.010001182556152344, 0.009999752044677734, 0.00899958610534668]",5.280174970626831
DJI_20240917112343_0387_D.JPG,QZ_Town,-45.2,-131.6,81.5,4.300393579121232,HIGH,TopN_Re-rank,RoMa,257,0.013604959884247222,"[0.6416313648223877, 0.6715936660766602, 0.8638589382171631, 0.6603293418884277, 0.6690003871917725]","[0.010999202728271484, 0.009998559951782227, 0.009999513626098633, 0.010998010635375977, 0.008998394012451172]",4.920714616775513
DJI_20240917112345_0388_D.JPG,QZ_Town,-45.2,-143.9,81.5,5.430576132636152,HIGH,TopN_Re-rank,RoMa,235,0.013659983505437404,"[0.6957435607910156, 0.7847867012023926, 0.741912841796875, 0.6872963905334473, 0.7032566070556641]","[0.01200103759765625, 0.010998964309692383, 0.011000871658325195, 0.010001420974731445, 0.009000062942504883]",5.100458145141602
